Filename,NDW.eng
ER2_FGTD_C01108_P2Y4W2,118
ER2_FGTD_C01121_P2Y4W2,116
ER2_FGTD_C01125_P2Y4W2,126
ER2_FGTD_C01127_P2Y4W2,102
ER2_FGTD_C01160_P2Y4W2,122
ER2_FGTD_C01162_P2Y4W2,113
ER2_FGTD_C01171_P2Y4W2,110
ER2_FGTD_C01185_P2Y4W2,86
ER2_FGTD_C01211_P2Y4W2,118
ER2_FGTD_C01222_P2Y4W2,137
ER2_FGTD_C01226_P2Y4W2,119
ER2_FGTD_C01262_P2Y4W2,108
ER2_FGTD_C01265_P2Y4W2,135
ER2_FGTD_C01294_P2Y4W2,71
ER2_FGTD_C01298_P2Y4W2,103
ER2_FGTD_C01336_P2Y4W2,127
ER2_FGTD_C02230_P2Y4W2,118
ER2_FGTD_C02232_P2Y4W2,93
ER2_FGTD_C02234_P2Y4W2,106
ER2_FGTD_C02239_P2Y4W2,83
ER2_FGTD_C02255_P2Y4W2,100
ER2_FGTD_C02262_P2Y4W2,105
ER2_FGTD_C02267_P2Y4W2,120
ER2_FGTD_C02274_P2Y4W2,88
ER2_FGTD_C02276_P2Y4W2,81
ER2_FGTD_C02278_P2Y4W2,79
ER2_FGTD_C02279_P2Y4W2,98
ER2_FGTD_C02282_P2Y4W2,131
ER2_FGTD_C02287_P2Y4W2,56
ER2_FGTD_C02295_P2Y4W2,95
ER2_FGTD_C02297_P2Y4W2,132
ER2_FGTD_C02315_P2Y4W2,121
ER2_FGTD_C02325_P2Y4W2,116
ER2_FGTD_C02335_P2Y4W2,107
ER2_FGTD_C02351_P2Y4W2,101
ER2_FGTD_C02352_P2Y4W2,134
ER2_FGTD_C02356_P2Y4W2,98
ER2_FGTD_C02359_P2Y4W2,93
ER2_FGTD_C02363_P2Y4W2,110
ER2_FGTD_C02364_P2Y4W2,114
ER2_FGTD_C02365_P2Y4W2,145
ER2_FGTD_C02368_P2Y4W2,78
ER2_FGTD_C02373_P2Y4W2,138
ER2_FGTD_C02376_P2Y4W2,106
ER2_FGTD_C02378_P2Y4W2,100
ER2_FGTD_C02381_P2Y4W2,108
ER2_FGTD_C02383_P2Y4W2,88
ER2_FGTD_C02384_P2Y4W2,99
ER2_FGTD_C02386_P2Y4W2,98
ER2_FGTD_C02388_P2Y4W2,120
ER2_FGTD_C02389_P2Y4W2,117
ER2_FGTD_C02397_P2Y4W2,114
ER2_FGTD_C02415_P2Y4W2,94
ER2_FGTD_C02416_P2Y4W2,84
ER2_FGTD_C02423_P2Y4W2,101
ER2_FGTD_C02425_P2Y4W2,103
ER2_FGTD_C02426_P2Y4W2,115
ER2_FGTD_C02434_P2Y4W2,112
ER2_FGTD_C02442_P2Y4W2,118
ER2_FGTD_C02443_P2Y4W2,95
ER2_FGTD_C02448_P2Y4W2,131
ER2_FGTD_C02449_P2Y4W2,101
ER2_FGTD_C02450_P2Y4W2,132
ER2_FGTD_C02475_P2Y4W2,117
ER2_FGTD_C02476_P2Y4W2,116
ER2_FGTD_C02478_P2Y4W2,126
ER2_FGTD_C02479_P2Y4W2,100
ER2_FGTD_C02481_P2Y4W2,113
ER2_FGTD_C02482_P2Y4W2,114
ER2_FGTD_C02483_P2Y4W2,74
ER2_FGTD_C02484_P2Y4W2,120
ER2_FGTD_C02488_P2Y4W2,84
ER2_FGTD_C02489_P2Y4W2,90
ER2_FGTD_C02492_P2Y4W2,111
ER2_FGTD_C02493_P2Y4W2,101
ER2_FGTD_C02496_P2Y4W2,106
ER2_FGTD_C02498_P2Y4W2,98
ER2_FGTD_C02502_P2Y4W2,76
ER2_FGTD_C02503_P2Y4W2,83
ER2_FGTD_C02506_P2Y4W2,83
ER2_FGTD_C02507_P2Y4W2,115
ER2_FGTD_C02551_P2Y4W2,110
ER2_FGTD_C02552_P2Y4W2,96
ER2_FGTD_C02576_P2Y4W2,94
ER2_FGTD_C02579_P2Y4W2,135
ER2_FGTD_C02588_P2Y4W2,115
ER2_FGTD_C02594_P2Y4W2,100
ER2_FGTD_C02596_P2Y4W2,84
ER2_FGTD_C02599_P2Y4W2,68
ER2_FGTD_C02619_P2Y4W2,94
